disease_string,matched_keyword,level_1,level_2,level_3,level_4,level_5,level_6,level_7
Sciatic Neuropathic Pain in Lumbar Disc Herniation (LDH),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Ankylosing spondylitis (AS),ankylosing spondylitis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Irritable bowel syndrome (IBS),IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammatory bowel disease (IBD) (TNBS-induced),inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diarrhoeal Irritable Bowel Syndrome (IBS-D) accompanied by negative emotions,IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Intestinal motility disorders,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Chronic Intervertebral Disc Degeneration (IVDD),intervertebral disc,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Inflammatory bowel disease (IBD) caused by high-fat diet (HFD)-induced obesity,inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Colitis (DSS-induced),colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
constipation,constipation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
IBS-D,IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Inflammatory bowel disease (IBD),inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Visceral pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Diarrhoea,diarrhoe,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Neuropathic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Functional diarrhea,diarrhea,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Hyperglycaemia,hyperglycaemia,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Gastrointestinal motility disorders,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
PTSD-like behaviors,PTSD,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Cognitive Impairment after Spinal Cord Injury (SCI),spinal cord injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Vascular dementia (VD),dementia,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Spinal cord injury (SCI),spinal cord injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral ischemia-reperfusion injury (MCAO/R model),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Spinal cord injury (SCI)-induced motor dysfunction,spinal cord injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Parkinson's disease (PD),parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Depression in Parkinson's disease (DPD),parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Spinal cord injury,spinal cord injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral infarction,cerebral infarction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Osteopenia,osteopenia,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Stroke,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Osteoporosis,osteoporosis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Peripheral nerve injury,peripheral nerve,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Postmenopausal Osteoporosis,osteoporosis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Inflammatory bowel disease (IBD) with comorbid depression,inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
diabetic peripheral neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Functional Constipation (FC),constipation,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Ulcerative colitis (UC),colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
type 2 diabetes mellitus (T2DM),diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Diarrhea-predominant irritable bowel syndrome (IBS-D),IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Postoperative ileus (POI),POI,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Obesity (high-fat diet (HFD)-induced),obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
inflammatory bowel disease (IBD) accompanied by depressive symptoms,inflammatory bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Acute myocardial infarction (AMI),myocardial,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Depressive-like behavior (chronic unpredictable mild stress),stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Obesity,obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Cognitive impairment induced by long-term high-fat diet,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic visceral pain in irritable bowel syndrome (IBS),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Post-infectious irritable bowel syndrome (PI-IBS), visceral hypersensitivity",visceral hypersensitivity,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Alzheimer's disease (AD),alzheimer,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Parkinson's disease constipation,parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Parkinson's disease,parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
HFD-induced obesity,obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Obese type 2 diabetes mellitus (T2DM),diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
sepsis,sepsis,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Ulcerative Colitis,colitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
irritable bowel syndrome with diarrhea (IBS-D),irritable bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diabetes,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
IBS,IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Parkinson disease,parkinson,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Visceral Hypersensitivity,visceral hypersensitivity,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Inflammation,inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
chronic visceral pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Irritable bowel syndrome,irritable bowel,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Visceral hyperalgesia,hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Jejunal motility disorders,jejun,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Gastric motility,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Gastrointestinal disorders,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Pancreatitis,pancreatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Acute pancreatitis,pancreatitis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Type-2 diabetes mellitus,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Chronic visceral hypersensitivity,visceral hypersensitivity,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Gastric mucosal damage,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Insomnia (PCPA-induced),insomnia,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
"Obesity, insulin resistance (HFD-induced)",insulin,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Diabetic Kidney Disease (DKD),diabetic,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Autism Spectrum Disorder (ASD),autism,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Depression with gastric dysfunction,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Diminished Ovarian Reserve (DOR),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Gastric Ulcer (GU),gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Gastric motility disorder (GMD),gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Functional Dyspepsia (FD),dyspepsia,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Sepsis-related intestinal injury (CLP model),intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
CVD,CVD,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Paclitaxel-induced allodynia (neuropathic pain),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neurological disorder,neurological disorder,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
diminished ovarian reserve,ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
type 2 diabetes mellitus,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
functional dyspepsia,dyspepsia,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
dementia,dementia,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Depression,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
gastric ulcer,gastric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Alzheimer's disease,alzheimer,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
insulin resistant,insulin,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Gastritis,gastritis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
anorexia,anorexia,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Parasite infection,parasite infection,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Gastroparesis,gastroparesis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Nausea and Vomiting,nausea,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Gastroenteric disease,gastroenteric,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Diabetes mellitus,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Metabolic syndrome,metabolic syndrome,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Type-2 diabetes,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Vascular dementia,dementia,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cognitive deficit,cognitive deficit,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Oxidative stress,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Hyperglycemia,hyperglycemia,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neurodegenerative diseases,neurodegenerat,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Benign Prostatic Hyperplasia (BPH),prostatic hyperplasia,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Diabetic cardiomyopathy (DCM),cardiomyopathy,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Myocardial ischemia-reperfusion injury (MIRI),ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Middle cerebral artery occlusion-induced learning and memory impairment (ischemic stroke),,Other,Other,Other,Other,Other,Other,Other
Lipid metabolic disorder,lipid metabolic disorder,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Ischemic Stroke (MCAO/R model),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
asphyxial cardiac arrest and cardiopulmonary resuscitation (ACA/CPR),cardiac,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Postoperative cognitive dysfunction,cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
"doxorubicin-induced heart failure (HF), Dilated cardiomyopathy (DCM)",heart,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Hemorrhagic transformation (HT) after delayed rt-PA treatment for acute ischemic stroke,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral Small Vessel Disease (CSVD),vessel disease,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Embolic stroke with delayed rt-PA thrombolysis,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral ischemia-reperfusion injury (MCAO/R),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cerebral Ischemia-Reperfusion Injury (CIRI),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
CUMS-induced depression and constipation,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Middle Cerebral Artery Occlusion (MCAO) (stroke-induced brain injury),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Median Nerve Transection (Peripheral Nerve Injury),peripheral nerve,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
myocardial fibrosis (MF),myocardial,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Inflammatory pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Sleep deprivation-exacerbated post-cardiac arrest brain injury (PCABI),brain injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Ischemic stroke (MCAO),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Acute Ischemic Stroke (AIS),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Acute ischemic stroke (MCAO model),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Paroxysmal Atrial Fibrillation (AF),atrial fibrillation,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Olfactory bulbectomy (OBx) depression model,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Chronic ischemic white matter injury,white matter injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Carfilzomib-induced cardiotoxicity,cardio,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Myocardial ischemia reperfusion arrhythmia (RA),ischemia reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Stress-induced tachycardia,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Cerebral Ischaemia-Reperfusion Injury (CIRI),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Traumatic brain injury (TBI),brain injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Perioperative neurocognitive disorder (PND),neurocognitive disorder,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Ischemic stroke (MCAO/R),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Post-stroke cognitive impairment (PSCI),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
"Hypertension (SHR hypertension), hypertensive cardiac damage",cardiac,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Myocardial Infarction (MI),myocardial,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Focal cerebral ischaemia,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic heart failure (CHF),heart,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Acute ischemic stroke,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Sepsis-induced cardiac dysfunction,cardiac,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
hypertension,hypertension,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Focal cerebral ischemia-reperfusion injury (CIRI),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Myocardial ischemia,myocardial,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
"Anesthesia/surgery-induced cognitive decline, postoperative cognitive dysfunction (POCD)",cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
stress-induced cardiovascular disease,vascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Insomnia (liver-Qi stagnation pattern),liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
vasodepression and bradycardia,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Postoperative cognitive dysfunction (POCD),cognitive dysfunction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Angina pectoris,angina,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
